fromStopId,toStopId,routeId,orientation,averageSpeed,sampleCount
518162,503001,282,0,37,8059,4
517090,517129,373,1,23,6784,1
511281,502301,251,1,22,4505,8
501101,501051,140,0,22,3243,1
501051,500163,140,0,28,0833,7
518197,518198,555,1,35,4251,62
513051,513052,333,1,9,2216,1
517164,517076,373,1,30,0272,10
600159,500159,140,0,19,3757,18
501052,501100,140,1,28,6453,5
517091,517090,373,1,46,3411,8
501200,501250,140,1,18,3909,3
500159,501052,140,1,22,3083,17
504009,500200,131,1,73,0227,1
501550,500751,140,1,19,5384,8
517076,517249,373,0,26,9656,54
503001,603001,282,0,18,1085,6
501150,501200,140,1,26,9649,1
604009,504009,131,0,11,1984,19
