fromStopId,toStopId,routeId,orientation,averageSpeed,sampleCount
518162,503001,282,0,16,8711,35856
511271,511272,3132,1,19,6669,159
511431,511429,551,1,23,1688,21472
500401,500301,437,0,21,8239,13042
502951,501502,2211,0,26,7793,88
500111,512014,323,1,35,2236,70
517204,517205,3721,1,44,0560,7
500300,500350,431,1,34,5564,367
502051,502001,131,0,28,8080,492
517162,517045,373,0,55,8674,1
511284,511281,251,1,13,7769,373
516234,515144,2212,0,26,3180,4
502450,502400,421,0,31,2995,16
514541,514374,283,0,21,1439,4
517072,517257,370,1,4,9009,11
501001,501500,437,0,21,1994,6443
500600,500800,272,0,24,4229,4
500051,500052,557,1,38,6512,10
501651,501601,131,0,31,6899,1635
500451,500401,131,0,26,1661,1134
502651,502701,452,1,25,2884,483
502751,502851,452,1,32,3188,6
514376,514278,355,1,20,6362,1029
501301,501251,140,0,34,1319,20
513160,513161,283,0,26,3842,348
514036,514204,347,1,25,1688,764
513231,513014,332,1,31,4428,4
514401,514382,2141,0,20,5423,20
515142,515143,2211,1,22,8109,4
501502,501552,421,1,30,6252,263
516077,516073,272,0,50,3550,94
516064,516065,272,1,30,9962,11
503003,502700,251,0,29,1508,148
514207,514481,251,1,46,3530,1
500163,500159,554,1,24,5432,22201
514200,514428,142,0,56,7091,5
603004,503004,282,0,19,9701,7559
513168,513231,332,1,36,2125,51
514056,501150,142,1,16,3493,12
514055,514056,142,1,26,6819,1404
516143,516144,377,1,22,1927,1702
518061,503003,251,0,44,8760,26
514487,514212,355,0,24,4630,5
504008,604008,283,1,9,5702,2
514487,514488,251,0,11,8932,1
511277,511298,251,0,24,2412,2
512064,512120,322,1,8,4007,33
514431,514371,283,1,29,4419,1044
514198,514199,347,1,20,8181,6
502350,500751,142,0,31,5675,261
500950,501403,140,0,24,8255,38561
514534,514202,142,0,39,2850,9
517090,517129,373,1,22,5567,134
602100,602101,427,1,26,0651,401
500353,500301,131,0,19,9218,1699
511275,516192,251,0,46,7359,17
512186,500109,323,1,33,9283,366
501552,500603,272,1,25,2440,7
502851,502901,150,1,26,1006,45
500251,500201,431,0,31,0481,41
513187,513185,332,1,35,7100,233
519165,519166,305,0,28,9866,225
514201,514534,347,1,49,2398,3
516192,516138,251,0,40,9730,1
501550,500751,150,0,27,0143,7702
514381,514368,353,0,32,5612,86
511135,511341,318,0,54,8326,23
502102,502150,131,1,30,7667,154
502451,502501,427,0,20,6985,736
518196,518197,555,1,27,4080,33872
514301,514302,353,0,20,3688,77
504015,513006,283,0,25,8603,1
501702,501750,131,1,23,9347,158
514011,514013,2212,0,25,0771,21
513107,513013,2212,0,23,0247,10
513185,513164,332,1,28,0950,10
515143,516230,251,1,22,3897,1074
514207,514039,347,0,39,0700,222
500158,501050,441,1,25,7414,3172
501100,501150,441,1,40,9500,4
516196,516234,251,0,22,4338,415
514365,514382,283,0,19,9391,2627
515197,515198,651,1,23,6354,5017
514410,514009,2212,0,28,7963,36
502050,502150,421,0,37,4606,122
514370,514417,283,0,42,8788,3
514476,514477,385,1,11,7653,1
501151,501101,441,0,27,2927,882
